,value
Electric demand,495541608.35
Heat demand,817375644.308878
Onshore wind generation,230287556.58985728
Offshore wind generation,0.0
Solar generation,143265474.43053555
OCGT generation,152412964.89962268
Heat pump heat,77728880.51116812
Gas boiler heat,739646763.79771
