gas_price_shock_pct,methane_cost_factor,system_cost_eur,wind_onshore_de_mw,wind_offshore_de_mw,solar_de_mw,battery_de_mw,ocgt_de_mw,total_methane_supply_mwh_th,total_gas_power_generation_mwh
0,1.0,52657839428.14639,148457.18615139043,-0.0,127308.355175576,13328.354951105435,49128.732655663436,272037582.9524754,106094657.35146542
25,1.25,54561397423.13676,163483.19578151518,-0.0,145283.342779006,13580.711986709419,48745.32495293464,226406671.39728236,88298601.84494013
50,1.5,56204889502.34107,178372.50919325702,-0.0,154707.2279796398,13944.754455156779,48415.66046701367,198882442.11741063,77564152.42579016
100,2.0,58953766028.63323,197994.16202978537,-0.0,184366.65397023753,22040.26156813512,46706.19988532974,149458265.18751928,58288723.42313252
200,3.0,62629439790.12981,212784.1588131244,-0.0,232292.1386424802,38990.222204785336,43658.606916787256,99843592.40558873,38939001.038179606
