co2_cap_share,co2_cap_tonnes,co2_emissions_tonnes,mu_co2_eur_per_tco2,cap_onshore_mw,cap_offshore_mw,cap_solar_mw,cap_gas_mw,cap_battery_mw,gen_onshore_mwh,gen_offshore_mwh,gen_solar_mwh,gen_gas_mwh
1.0,85372290.44312114,85372290.44312114,0.0,102874.67931034762,-0.0,76580.5845970196,71422.66701340268,-0.0,216349505.28487372,0.0,103954243.73450921,175237859.33061707
0.75,64029217.83234085,64029217.832340844,54.67324488448962,130547.72796928705,-0.0,91369.44336413499,66980.52834097322,4115.954040385812,245090068.5444092,0.0,120093616.09682326,131428394.49796277
0.5,42686145.22156057,42686145.22156052,144.191470014802,165618.23536951438,-0.0,115894.85964963208,60765.76520575589,13610.362467322142,267182474.6285389,0.0,144130857.1792164,87618929.66530845
0.25,21343072.610780284,21343072.610780273,377.3575221239842,184939.62997489428,-0.0,170335.88954907615,54471.10020400592,45508.02392292197,270958873.34403604,0.0,189986971.64723623,43809464.832654245
0.1,8537229.044312114,8537229.04431211,1399.8923257989345,254585.53654471046,-0.0,223121.01194572359,47764.38581553478,75728.0277606282,284378956.592533,0.0,202432665.58595768,17523785.9330617
0.05,4268614.522156057,4268614.522156058,4740.39505489593,304904.5341538548,23777.506422969906,276566.6026154472,43080.6344571465,73428.45070114669,225367945.69572985,74345104.11442563,192948593.08619943,8761892.966530856
0.0,0.0,0.0,33224.943412598936,380234.4344735184,30002.710063747578,421378.1507604056,-0.0,440704.7539802988,212897824.85232157,93672375.69180088,194403343.22247845,0.0
